text,date,category
rt presstv update death toll irans quake rises earthquake,13_11_2017,injured_or_dead_people
rt cafod pray affected earthquake iraq iran,13_11_2017,not_humanitarian
rt reutersworld death toll reaches iran earthquake isna news agency,13_11_2017,injured_or_dead_people
rt laylaalhussein magnitude earthquake struck northern iraq erbil iraq november iraq,13_11_2017,other_relevant_information
rt laylaalhussein magnitude earthquake struck northern iraq erbil iraq november iraq,13_11_2017,other_relevant_information
rt laylaalhussein magnitude earthquake struck northern iraq erbil iraq november iraq,13_11_2017,other_relevant_information
rt laylaalhussein magnitude earthquake struck northern iraq erbil iraq november iraq,13_11_2017,other_relevant_information
video magnitude earthquake jolts iraniraq border area structural damage reported,13_11_2017,other_relevant_information
breaking iran earthquake toll rises dead injured says official,13_11_2017,injured_or_dead_people
rt rtcom iraniraq border earthquake latest least killed injured,13_11_2017,injured_or_dead_people
wsj earthquake near iraniraq border kills,13_11_2017,injured_or_dead_people
rt huffpost hundreds dead powerful earthquake hits border iran iraq,13_11_2017,injured_or_dead_people
turkey rushes help iraq earthquake victims,13_11_2017,rescue_volunteering_or_donation_effort
breaking death toll iraniraq earthquake reportedly climbs,13_11_2017,injured_or_dead_people
strong earthquake hits iraq iran killing least worldnews news,13_11_2017,injured_or_dead_people
officials raise death count least earthquake rocks northern iraq,13_11_2017,injured_or_dead_people
news least people killed iran iraq powerful magnitude earthquake hit region,13_11_2017,injured_or_dead_people
think event earthquake occurred iran mon nov cdt,13_11_2017,other_relevant_information
iraniraq earthquake people dead devastating quake border region,13_11_2017,injured_or_dead_people
rt khaleejtimes earthquake iraniraq border tremors felt uae,13_11_2017,other_relevant_information
iraq strong earthquake hits iraqiran border area six killed iran humanitarian newzealand auckland,13_11_2017,injured_or_dead_people
wall street journal iraniraq earthquake kills least de,13_11_2017,injured_or_dead_people
strong earthquake strikes iraq unitedstates iran,13_11_2017,other_relevant_information
heart attack waiting hear back dad najaf iraq earthquake alhamdulillah,13_11_2017,not_humanitarian
killed iraniraqi earthquake,13_11_2017,injured_or_dead_people
rt ahmadiyyatimes baghdad powerful earthquake iraniraq border kills people please rt,13_11_2017,injured_or_dead_people
least people dead iraniraq earthquake iraniraq news,13_11_2017,injured_or_dead_people
live deadly earthquake hits iraq amp iran aftermath footage iraqi sulaymaniyah,13_11_2017,infrastructure_and_utility_damage
collective hearts heavy sympathy iran earthquake kermanshah sarpolzahab,13_11_2017,other_relevant_information
magnitude earthquake hits iraniraq many killed thousands injured,13_11_2017,injured_or_dead_people
earthquake magnitude km sulaymaniyah iraq,13_11_2017,other_relevant_information
earthquake killed wounded thousands kurdish region iran amp iraq bbcnews,13_11_2017,injured_or_dead_people
earthquake killed wounded thousands kurdish region iran amp iraq bbcnews,13_11_2017,injured_or_dead_people
earthquake killed wounded thousands kurdish region iran amp iraq bbcnews,13_11_2017,injured_or_dead_people
earthquake killed wounded thousands kurdish region iran amp iraq bbcnews,13_11_2017,injured_or_dead_people
iraniraq border earthquake death toll tops officials say,13_11_2017,injured_or_dead_people
new earthquake e km e kifri iraq temblor sismo usgs alert,13_11_2017,not_humanitarian
pakistan condoles iran iraq devastating earthquake,13_11_2017,other_relevant_information
rt imranbird earthquake kuwait everyone standing outside,13_11_2017,other_relevant_information
heartbreaking earthquake border iran amp iraq rip f earthquake photo rudaw,13_11_2017,other_relevant_information
heartbreaking earthquake border iran amp iraq rip f earthquake photo rudaw,13_11_2017,other_relevant_information
heartbreaking earthquake border iran amp iraq rip f earthquake photo rudaw,13_11_2017,other_relevant_information
atleast dead thousands injured magnitude earthquake hits northern border region,13_11_2017,injured_or_dead_people
earthquake kills least iran government says,13_11_2017,injured_or_dead_people
rt akifinam press release mfaturkey regarding earthquake iraq halabja sulaimani,13_11_2017,other_relevant_information
rt leesaks iraq iran earthquake major oil fields map damages reported yet oott,13_11_2017,other_relevant_information
st turkish earthquake emergency plane landed sulaymaniyah iraq,13_11_2017,rescue_volunteering_or_donation_effort
rt rudawenglish material damages captured rudaw englishs managing editor osamagolpy halabja earthquake,13_11_2017,infrastructure_and_utility_damage
rt timesofisrael israel rattled magnitude earthquake strikes northeast iraq,13_11_2017,other_relevant_information
irans army deployed region help relief forces find trapped earthquake victims iranearthquake,13_11_2017,rescue_volunteering_or_donation_effort
commanders irgc irans army visit earthquake areas western iran,13_11_2017,not_humanitarian
iraq earthquake caught camera live tv interview video,13_11_2017,other_relevant_information
earthquake hits iraq near border iran several killed countries,13_11_2017,injured_or_dead_people
remarkable accurate figures loss life iraniraq earthquake,13_11_2017,injured_or_dead_people
iraqiran earthquake bhuj haiti deadliest quakes century worldnews,13_11_2017,other_relevant_information
rt tomhall breaking giant earthquake hits iraq e sundaymorning,13_11_2017,not_humanitarian
rt tomhall breaking giant earthquake hits iraq e sundaymorning,13_11_2017,not_humanitarian
rt tomhall breaking giant earthquake hits iraq e sundaymorning,13_11_2017,not_humanitarian
rt trutawar photos earthquake kurdistan photos belong kurdistan iran cities villages,13_11_2017,other_relevant_information
rt trutawar photos earthquake kurdistan photos belong kurdistan iran cities villages,13_11_2017,other_relevant_information
rt trutawar photos earthquake kurdistan photos belong kurdistan iran cities villages,13_11_2017,other_relevant_information
rt trutawar photos earthquake kurdistan photos belong kurdistan iran cities villages,13_11_2017,other_relevant_information
kyrgyzstanis among victims earthquake iran,13_11_2017,injured_or_dead_people
rt presstv dozens rushed hospitals kermanshah strong earthquake hit western iran,13_11_2017,affected_individuals
rt presstv pictures aftermath earthquake struck iraniraq border,13_11_2017,other_relevant_information
rt presstv pictures aftermath earthquake struck iraniraq border,13_11_2017,other_relevant_information
rt presstv pictures aftermath earthquake struck iraniraq border,13_11_2017,other_relevant_information
rt presstv pictures aftermath earthquake struck iraniraq border,13_11_2017,other_relevant_information
moment deadly earthquake rocked iraq amp iran caught video,13_11_2017,other_relevant_information
rt ssilvia shaking middle east also dubai earthquake iran iraq,13_11_2017,other_relevant_information
powerful earthquake rocks iraq iran leaving dead,13_11_2017,injured_or_dead_people
aftermath earthquake iran iraq photos video breakingnews,13_11_2017,other_relevant_information
iran earthquake damage video horror aftermath fears grow iraq deadly quake,13_11_2017,infrastructure_and_utility_damage
bahraini citizens iraq safe bahrain iraq earthquake,13_11_2017,other_relevant_information
prayer thought families earthquake victims iran kermanshah sarpolzahab,13_11_2017,other_relevant_information
azerbaijan offers assistance iran earthquake iranian envoy,13_11_2017,rescue_volunteering_or_donation_effort
blood donation lines tehran help earthquake survivors west iran,13_11_2017,rescue_volunteering_or_donation_effort
blood donation lines tehran help earthquake survivors west iran,13_11_2017,rescue_volunteering_or_donation_effort
blood donation lines tehran help earthquake survivors west iran,13_11_2017,rescue_volunteering_or_donation_effort
blood donation lines tehran help earthquake survivors west iran,13_11_2017,rescue_volunteering_or_donation_effort
turkey stand earthquake victims northern iraq private message,13_11_2017,affected_individuals
putin expressed condolences president iran earthquake russia,13_11_2017,other_relevant_information
iraniraq earthquake deadly tremor hits border region bbc news playback unsupport,13_11_2017,other_relevant_information
irans president hassanrouhani visit kermanshah efected sunday night earthquake tuesday morning,13_11_2017,other_relevant_information
irans president hassanrouhani visit kermanshah efected sunday night earthquake tuesday morning,13_11_2017,other_relevant_information
rt aladyinkuwait dos donts earthquake kuwait,13_11_2017,other_relevant_information
