text,date,category
rt fcbarcelona solidarity victims earthquake mexico,20_9_2017,not_humanitarian
mexico earthquake many children killed primary school,20_9_2017,injured_or_dead_people
obamas response earthquake mexicocity real president soundslike,20_9_2017,not_humanitarian
rt amichaistein breaking israel search amp rescue mission headed mexico earthquake,20_9_2017,rescue_volunteering_or_donation_effort
rt amichaistein breaking israel search amp rescue mission headed mexico earthquake,20_9_2017,rescue_volunteering_or_donation_effort
rt amichaistein breaking israel search amp rescue mission headed mexico earthquake,20_9_2017,rescue_volunteering_or_donation_effort
news least people including children died mexico earthquake hit country,20_9_2017,injured_or_dead_people
rt travelleisure deadly earthquake shakes mexico city causes buildings crumble,20_9_2017,infrastructure_and_utility_damage
rt jentezen praying people mexico suffering earthquake,20_9_2017,other_relevant_information
rt paulkiarie magnitude earthquake hits mexico central deaths far fuerzamexico prayformexico,20_9_2017,injured_or_dead_people
least dead strong magnitude earthquake hit mexico city,20_9_2017,injured_or_dead_people
rt jorgeguajardo mexico city airport todays earthquake,20_9_2017,other_relevant_information
earthquake causes widespread damage around mexico city kills least people via,20_9_2017,injured_or_dead_people
vicemore dead earthquake rocks mexico city death toll,20_9_2017,injured_or_dead_people
rt thehill obama sends big hug mexico deadly earthquake,20_9_2017,not_humanitarian
beyonce barackobama selenagomez among offer kind words mexico,20_9_2017,other_relevant_information
mexico city hit earthquake,20_9_2017,other_relevant_information
rt thedailybeast images mexico citys devastating earthquake,20_9_2017,infrastructure_and_utility_damage
nfl reviewing whether mexico city game go earthquake fantasyfootball,20_9_2017,other_relevant_information
rt bbgvisualdata hushed crews listen survivors mexico earthquake toll tops,20_9_2017,other_relevant_information
rescuers search rubble dawn breaks mexico city earthquake toll hits,20_9_2017,infrastructure_and_utility_damage
sending thoughts prayers mexico horrendous earthquake therealsambora orianthi rsoofficial,20_9_2017,other_relevant_information
foreign office issues warning following mexico earthquake,20_9_2017,other_relevant_information
human tragedy mexicos earthquake video latest news followback,20_9_2017,other_relevant_information
rt leeunkrich mexico earthquake relief topos paypal donations donativosbrigadarescatetoposorg toposmx,20_9_2017,rescue_volunteering_or_donation_effort
rt geogabout death toll rises powerful earthquake topples buildings mexico,20_9_2017,injured_or_dead_people
prayers millions people affected powerful earthquake mexico ad mexicofuerte mexicocity,20_9_2017,not_humanitarian
mexico earthquake praise raced help others,20_9_2017,not_humanitarian
latingrammys suspend nominees announcement following mexico earthquake latingrammy,20_9_2017,other_relevant_information
rt biuk drone footage shows devastation caused magnitude earthquake mexico,20_9_2017,infrastructure_and_utility_damage
dualipa sismo earthquake mexico,20_9_2017,other_relevant_information
new zealand shaken large tremors hours mexico city earthquake,20_9_2017,other_relevant_information
rt realdailywire watch multiple buildings collapse earthquake mexico city,20_9_2017,infrastructure_and_utility_damage
rt dwnews mexico earthquake update dead numerous buildings collapse,20_9_2017,injured_or_dead_people
rt cnn photos show magnitude earthquakes destruction central mexico,20_9_2017,infrastructure_and_utility_damage
rt cnn photos show magnitude earthquakes destruction central mexico,20_9_2017,infrastructure_and_utility_damage
rt cnn photos show magnitude earthquakes destruction central mexico,20_9_2017,infrastructure_and_utility_damage
rt cnn photos show magnitude earthquakes destruction central mexico,20_9_2017,infrastructure_and_utility_damage
rt theagu usgs shakemap earthquake km ene raboso mexico,20_9_2017,other_relevant_information
brief earthquake mexico killed people,20_9_2017,injured_or_dead_people
deadly earthquake hits mexico city deep condolences people mexico,20_9_2017,other_relevant_information
removing jungle gym elementary school least students died mexico earthquake,20_9_2017,injured_or_dead_people
mexico dona las victimas del terremoto donate victims earthquake,20_9_2017,rescue_volunteering_or_donation_effort
rt msn horror desperation follow earthquake mexico city,20_9_2017,other_relevant_information
rt ajplus mexico city sees major damages buildings magnitude earthquake,20_9_2017,infrastructure_and_utility_damage
rt ajplus mexico city sees major damages buildings magnitude earthquake,20_9_2017,infrastructure_and_utility_damage
rt ajplus mexico city sees major damages buildings magnitude earthquake,20_9_2017,infrastructure_and_utility_damage
terrifying visuals mexico earthquake stun world,20_9_2017,other_relevant_information
kids among dead found school mexico earthquake,20_9_2017,injured_or_dead_people
mexico earthquake building collapse rescue caught video children pulled rubble,20_9_2017,infrastructure_and_utility_damage
nissan evacuates mexico city hq cuernavaca plant earthquake storystream auto,20_9_2017,other_relevant_information
rt thedailybeast amid rubble mexicos huge earthquake many helping hands,20_9_2017,rescue_volunteering_or_donation_effort
collapsed mexico school community digs signs life socialmedia,20_9_2017,infrastructure_and_utility_damage
mexico combs rubble survivors earthquake kills least socialmedia,20_9_2017,injured_or_dead_people
trump sent condolences mexico earthquake,20_9_2017,other_relevant_information
mexico reels following devastating earthquake,20_9_2017,infrastructure_and_utility_damage
