text,date
hey turkish users getting rate limit exceeded warning every time try send consecutive tweets thought may want look,2023-02-06 13:04:30+00:00
may allah mercy passed away make easy affected devastating earthquake turkey amp syria,2023-02-06 13:04:30+00:00
stand turkey,2023-02-06 13:04:31+00:00
occurred km e min ago local time info,2023-02-06 13:04:33+00:00
former newcastle united star christian atsu among victims reportedly trapped rubble massive earthquake struck turkey prompting search rescue efforts wish everyone injured speedy recovery,2023-02-06 13:04:33+00:00
heart heavy people may allah mercy themamen,2023-02-06 13:04:34+00:00
turkey declared fourth level alert state level alarm condition includes international call help pf around world reading message people rubble earthquake country need help saved,2023-02-06 13:04:40+00:00
scenes scary,2023-02-06 13:04:41+00:00
breaking least dead massive earthquake turkey syria morning prayers go brothers sisters everyone region,2023-02-06 13:04:43+00:00
thinking lost family friends,2023-02-06 13:04:47+00:00
hitting back back centuries specially desert storm,2023-02-06 13:04:50+00:00
prayers affected areas,2023-02-06 13:04:54+00:00
aftermath powerful earthquake streets gaziantep southern local source,2023-02-06 13:04:57+00:00
situation whole world come forward help turkey every way natural calamity happen anywhere,2023-02-06 13:05:03+00:00
people wait hope families rescuedrescuers racing save people trapped beneath rubble hundreds buildings collapsed countries,2023-02-06 13:05:04+00:00
pray syria,2023-02-06 13:05:06+00:00
breaking gaziantep castle built years ago collapsed earthquake,2023-02-06 13:05:11+00:00
trkiye thoughts prayers people,2023-02-06 13:05:14+00:00
pray turkey,2023-02-06 13:05:20+00:00
earthquakes continue rock turkey another quake hit turkey mins ago along numerous aftershockspeople turkey already felt earthquakes varying magnitude last hours alone,2023-02-06 13:05:26+00:00
announced total buildings destroyed due earthquake aftershocks buildings damaged subsequently demolished,2023-02-06 13:05:27+00:00
praying atsu,2023-02-06 13:05:32+00:00
praying people turkey,2023-02-06 13:05:32+00:00
magnitude struck southeastern early monday toppling people located zone large seismic faults registers frequent,2023-02-06 13:05:33+00:00
guy warned two days ago,2023-02-06 13:05:33+00:00
indonesia haiti china pakistan iran japan india nepal turkey united help bullshit war etc,2023-02-06 13:05:37+00:00
years old castle destroyed earthquake,2023-02-06 13:05:38+00:00
prays,2023-02-06 13:05:50+00:00
thoughts prayers affected earthquakes syria turkey ya allah mercy muslim ummah every one suffering either natural disasters induced suppressed supressors,2023-02-06 13:05:51+00:00
pray turkey syria,2023-02-06 13:05:54+00:00
pope franciss telegrams turkey following promising prayers expressing closeness nations,2023-02-06 13:05:54+00:00
big breaking turkey earthquake pointer centralised turkey,2023-02-06 13:05:56+00:00
mathrubhumi english evening brief february,2023-02-06 13:05:57+00:00
sad day people amp devastating earthquake caused many deaths many people still trapped rubble,2023-02-06 13:05:57+00:00
god save second strong earthquake mag shakes middle east regionanother hit,2023-02-06 13:05:57+00:00
people,2023-02-06 13:05:59+00:00
biggest plot twist would man utd winning,2023-02-06 13:06:00+00:00
like human made disasters,2023-02-06 13:06:04+00:00
death toll rises emergency management says,2023-02-06 13:06:05+00:00
turkey declared fourth level alert state level alarm condition includes international call help around world reading message people rubble earthquake country need help saved,2023-02-06 13:06:09+00:00
event wrapup today hit local time utc shaking felt km approximately people turkey syria cyprus georgia syrian arab republic lebanon,2023-02-06 13:06:10+00:00
researcher warned two days ago,2023-02-06 13:06:11+00:00
predicted couple days back,2023-02-06 13:06:12+00:00
everybody turkey earthquake expected please stay safe,2023-02-06 13:06:15+00:00
thoughts prayers affected massive magnitude hit large scale destruction loss lives reported,2023-02-06 13:06:17+00:00
devastating news another building collapse aftermath aftershocks rescue teams looking survivors,2023-02-06 13:06:17+00:00
dear nonturkish friends please readthere two destructive earthquakes magnitudes amp southeastern turkey today know many people died many rubbles thousands buildings collapsed,2023-02-06 13:06:34+00:00
air corridor established turkish military transport aid earthquake zone actively use transport aircraft,2023-02-06 13:06:38+00:00
may allah protect,2023-02-06 13:06:38+00:00
occurred km nw min ago local time info,2023-02-06 13:06:40+00:00
heartbreaking visuals coming massive may allah protect every sorts natural artificial disaster ameen,2023-02-06 13:06:41+00:00
major destruction elbistan near epicenter new,2023-02-06 13:06:42+00:00
latest reporting people lost lives rescued rubble,2023-02-06 13:06:46+00:00
pakistan stands turkiye hour grief amp ready extend possible assistance,2023-02-06 13:06:53+00:00
woke intense shaking loud sound say felt like think coincidence occurred less hour,2023-02-06 13:06:54+00:00
india send search amp rescue teams medical teams two teams comprising personnel specially trained dog squads medical teams necessary equipments dispatched coordination,2023-02-06 13:06:55+00:00
form,2023-02-06 13:06:56+00:00
scary visuals,2023-02-06 13:06:58+00:00
map tells storyit literally looks like fault line broke still keeps movingi hope bring sad news,2023-02-06 13:07:03+00:00
wishing donate victims info comes via official website turkish ministry interior disaster emergency,2023-02-06 13:07:03+00:00
huge quake topples turkey syria,2023-02-06 13:07:04+00:00
shocked magnitude earthquake twice prayers needed brothers sisters,2023-02-06 13:07:09+00:00
hatay,2023-02-06 13:07:13+00:00
update occurred km w hr min ago local time info,2023-02-06 13:07:15+00:00
