text,date
"\Japan earthquake: Nearly 250 missing as hope for survivors fades - BBC News\"" https://bbc.com/news/world-asia-67889216…  2024/01/06 JST""",Jan-07
Replying to  @aviationbrk,Jan-07
"ارتفاع حصيلة ضحايا زلزال اليابان إلى 326 قتيلا ومفقودا السبت، 06 يناير 2024 01:21 م  أعلنت السلطات اليابانية، اليوم السبت، ارتفاع حصيلة ضحايا الزلزال الذي ضرب البلاد مطلع العام الجديد إلى 126 قتيلا وأكثر من مائتي مفقود بمحافظة \إيشيكاوا\"". #japan #earthquakes""",Jan-06
Replying to  @rawsalerts,Jan-06
Informative and Helpful article by the founder of Social Innovation Japan and  @mymizuco  Robin Lewis about helping with the most recent earthquake in Japan: How to help survivors of the 2024 Noto Peninsula Earthquake in Japan by  @robintlewis,Jan-06
"\In support of the disaster relief efforts for the 2024 Sea of Japan earthquake\"" 「2024日本海地震（能登半島地震）による被災支援のため」  大谷翔平選手がドジャーズと共同で１億４千万円寄付の声明発表。ありがとうございます""",Jan-06
Replying to  @fasc1nate,Jan-06
5 days into 2024:  Flash flooding in Saudi Arabia Major Earthquake in Japan S Korea fires missiles into S Korea islands Jeffrey Epstein List Waves roaring in Ca Subway trains collide in Manhattan Blackouts increasing Israel vs Islam  Now alien sightings in Miami  #GotJESUS ?,Jan-05
2024 so far -Earthquake in Japan -Airplane collides and explodes -Pomu graduates  Me exiting 2023 vs now:,Jan-05
Replying to  @TIOffoa1Iny67ll,Jan-05
Replying to  @came_music,Jan-05
" Prime Minister  @narendramodi  writes to Japanese Prime Minister #FumioKishida following the #Earthquake in #Japan on 4th Jan 2024. In the Letter, PM Modi writes, \I am deeply anguished and concerned to learn about the major earthquake that struck Japan on 1 January 2024. I express… Show more""",Jan-05
"Number of major earthquakes between 1990 and 2024:   China: 186  Indonesia: 166  Iran: 109  Japan: 98  USA: 78  Turkey: 62  India: 58  Philippines: 55  Note: earthquakes with at least $1m in damages, 10 deaths, a magnitude of 7.5 or a tsunami - According to NOAA",Jan-05
Replying to  @sidhant,Jan-05
 Prime Minister Shri Narendra Modi wrote to Japanese Prime Minister Fumio Kishida following the earthquake in Japan on 04 Jan 2024.  “I am deeply anguished and concerned to learn about the major earthquake that struck Japan on 1 January 2024.  I express my deepest condolence to… Show more,Jan-05
 Prime Minister  @narendramodi  wrote to Japanese Prime Minister Fumio Kishida following the earthquake in Japan on 04 Jan 2024.  I am deeply anguished and concerned to learn about the major earthquake that struck Japan on 1 January 2024.  I express my deepest condolence to the… Show more,Jan-05
"Momento exacto del derrumbe de Mitsukejima, un famoso islote en la prefectura de Ishikawa, Japón, durante el terremoto M7.5 del 1 de enero de 2024. #JapanEarthquake    @kenya_0817",Jan-05
Replying to  @spectatorindex,Jan-05
Reading all the crazy 2024 on 𝕏 - Epstein List  - North Korea fires at South Korea  - Airbus Crash / B-1 Bomber Crash - Iowa School Shooting  - Mark Cubin vs Elon Musk  - Bitcoin ETF Possible  - Dogecoin to the moon - Japan 7.6M Earthquake  Just a few of the top stories of 2024,Jan-05
So far in 2024 in Korea/Japan: - Ishikawa Earthquake - Korean Opposition leader stabbed - North Korea moves to a policy of 'Non-reunification' - JAL-526 - Major fire in Fukuoka - Mass stabbing in Akihabara - Fire in Shinjuku - NK provocations and evacuation of Yeonpyeong.  Jeez,Jan-05
"China Speed! China Power!  On 18 December 2023, a magnitude 6.2 earthquake struck Gansu Province, China.   On 1 January 2024, a magnitude 7.6 earthquake struck off the coast of Noto Peninsula, Japan.  Below is a comparison between the earthquake relief efforts of China and Japan.",Jan-05
"The start of 2024 shook Japan with an earthquake and other crises, and my thoughts are with the people impacted by the disasters.  May the year of the dragon bring everyone the strength to swim through any clouds and winds in the sky!",Jan-05
"Number of major earthquakes between 1990 and 2024:   China: 186  Indonesia: 166  Iran: 109  Japan: 98  USA: 78  Turkey: 62  India: 58  Philippines: 55  Note: earthquakes with at least $1m in damages, 10 deaths, a magnitude of 7.5 or a tsunami   According to NOAA",Jan-05
