time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T10:39:28.280Z,15.2406,-93.39,68.02,4.7,mb,,136,0.49,0.82,us,us2000arj1,2017-12-19T01:54:08.040Z,"33 km SW of La Esperanza (El Zapotal), Mexico",earthquake,7.6,7.7,0.037,224,reviewed,us,us
2017-09-20T04:15:47.090Z,15.5704,-95.0251,35,4.5,mb,,129,1.061,0.99,us,us2000argq,2017-12-19T01:54:07.040Z,"67 km SE of El Carrizal, Mexico",earthquake,7.9,2,0.045,145,reviewed,us,us
2017-09-20T03:28:02.710Z,16.0041,-95.1187,35,4.6,mb,,151,1.877,0.87,us,us2000argd,2022-08-07T18:06:05.856Z,"20 km SSE of Salina Cruz, Mexico",earthquake,4.9,2,0.041,178,reviewed,us,us
2017-09-20T02:37:35.560Z,14.5711,-90.9075,178.93,4.9,mb,,174,0.939,1.19,us,us2000arfs,2022-08-07T18:05:17.299Z,"4 km ENE of Acatenango, Guatemala",earthquake,9.8,6.8,0.041,189,reviewed,us,us
2017-09-19T23:11:32.240Z,16.2348,-94.8625,45.26,4.6,mb,,152,1.666,0.65,us,us2000arch,2017-12-19T01:54:07.040Z,"13 km ENE of San Mateo del Mar, Mexico",earthquake,8.4,8.9,0.058,89,reviewed,us,us
2017-09-19T21:13:15.380Z,15.259,-94.7276,22.51,5,mb,,85,1.424,0.86,us,us2000ar96,2022-08-07T18:00:29.029Z,"108 km S of San Francisco del Mar Viejo, Mexico",earthquake,4.4,4.4,0.047,143,reviewed,us,us
2017-09-19T18:14:38.090Z,18.5499,-98.4887,48,7.1,mww,,23,0.984,1.14,us,us2000ar20,2024-09-10T05:09:32.007Z,"1 km S of Matzaco, Mexico",earthquake,4.5,1.8,0.048,41,reviewed,us,us
2017-09-19T07:58:44.640Z,15.1478,-94.204,18.1,4.9,mb,,136,1.099,1.79,us,us2000awn2,2017-12-19T01:54:05.040Z,"98 km SSW of Doctor Belisario Domínguez (La Barra), Mexico",earthquake,5.4,5.8,0.177,10,reviewed,us,us
2017-09-19T07:53:15.410Z,15.105,-94.1434,29.73,5.5,mww,,69,1.072,1.11,us,us2000aqji,2022-05-03T19:00:47.175Z,"98 km SW of Manuel Ávila Camacho (Ponte Duro), Mexico",earthquake,3.1,3.9,0.066,22,reviewed,us,us
2017-09-19T07:03:01.930Z,15.6591,-94.6521,55,4.9,mb,,116,1.381,0.96,us,us2000aqiw,2017-12-19T01:54:05.040Z,"63 km S of San Francisco del Mar Viejo, Mexico",earthquake,6.1,7.7,0.047,143,reviewed,us,us
2017-09-18T19:51:30.040Z,15.2963,-94.8221,20.1,4.9,mb,,113,1.325,1,us,us2000aq7z,2017-12-19T01:54:04.040Z,"102 km S of San Mateo del Mar, Mexico",earthquake,3.4,5,0.029,363,reviewed,us,us
2017-09-18T15:13:57.470Z,15.1527,-94.6964,23.98,4.8,mb,,141,1.527,0.63,us,us2000apya,2017-12-19T01:54:04.040Z,"119 km S of San Francisco del Mar Viejo, Mexico",earthquake,6.5,1.1,0.038,211,reviewed,us,us
2017-09-18T14:19:12.880Z,15.2577,-94.5666,10,5.6,mww,,41,1.373,1.05,us,us2000apx5,2022-08-07T17:48:46.048Z,"108 km S of San Francisco del Mar Viejo, Mexico",earthquake,7.7,1.8,0.06,27,reviewed,us,us
2017-09-18T12:06:55.650Z,16.0113,-95.2305,5.71,4.9,mb,,100,0.878,1.22,us,us2000apva,2017-12-19T01:54:03.040Z,"18 km ESE of El Carrizal, Mexico",earthquake,6.3,5,0.058,95,reviewed,us,us
