Location,Frequency,Latitude,Longitude
Those,10,52.5070072,10.1255749
Tomita,3,36.3161615,139.5288074
Terremoto,18,42.8826484,-8.5338417
Chuetsu,2,35.6450369,139.80140782275456
Japan Pro-,3,35.6467715,139.6765883
Thanh Hoa,1,19.8076814,105.7767437
Ishikawa prefecture,32,36.9890574,136.8162839
Stellata,1,44.9478861,11.421983
Monzenmachi,1,33.076468,131.848969
Yen,3,49.212494899999996,-102.96474765899393
hashi,1,34.9644302,132.15134
Ishikawa - Living,1,36.55377865,136.67267794459735
Epicentro,1,44.033065,12.557119728649024
Ishikawa Prefecture,207,36.9890574,136.8162839
Nagano,9,36.1143945,138.0319015
Niigata Prefecture,2,37.6452283,138.7669125
Hanto,2,11.43441,4.8292906
japan,22,36.5748441,139.2394179
Nova,6,46.6851951,16.6779487
Okinawa,2,26.5707754,128.0255901
-year-old,5,31.2827506,-97.8559145
Solomon,1,38.91938,-97.37210136912773
Hiroshima,3,34.3917241,132.4517589
Thang,1,34.9261847,76.7984354
Int,4,28.7621067,-17.87767389192692
Yokohama,1,35.4443947,139.6367727
Noto Region,5,36.8908864,15.0706454
Torn,1,53.0102721,18.6048094
Halley,1,34.8520405,-95.8366586
KYODO -,1,35.65135,139.6366816
Wajima City,14,37.291727800000004,136.7643603237964
Kojima,1,34.4627408,133.8076652
two-time,2,50.6947761,18.0951938
Nagoya,1,35.1851045,136.8998438
Ichinose cho,1,35.4621992,138.4821403
Sendai,2,38.2677554,140.8691498
kojem,1,44.982605,18.532452916466724
Kimana,1,46.6258871,12.9901966
Nakayama,1,38.3331256,140.2831151
Haneda,3,35.5479444,139.7466458
Japan Sea,9,38.86969965,141.6345075664288
Toros,1,39.7349253,37.2359142
Fuji,1,35.362799,138.730781
Japo,1,36.5748441,139.2394179
Seiko,1,-7.949385,147.0671463
Aichi,1,34.9991645,137.254574
Japan Red,1,35.625996650000005,139.07475445608236
Inaba - -,1,35.7120424,139.7959545
Noto-Japon,1,37.3294213,137.1083671
Onominato,1,34.2807556,135.28580826499842
Sakurazaka,1,33.5772495,130.3868756
Noam,1,31.5669098,34.7890968
Pit-House,1,54.8502792,-1.771275989002215
Japan,387,36.5748441,139.2394179
Sado,7,38.0182578,138.3683995
Mitsuke,1,37.53145,138.9126572
Momo,3,5.999764000000001,9.833133833094546
Earthquake -,4,51.177617749999996,-4.675986232144825
Jesus,1,10.207396,39.1496694
Parliamo,1,45.5844741,9.2800397
Years,5,22.3326012,114.1607882
Yomiuri,2,35.687148300000004,139.76447835
M.OCEANO,1,49.6330354,6.1377128
Kyodo,4,35.65135,139.6366816
Hase,1,52.5555597,7.9513333
Machino,1,33.356208550000005,130.5126053231399
Mwp,1,-6.8051762,39.2740208
Komatsu,2,36.4032931,136.4495465
Escalate,1,36.783347,-3.5188628
Areas,1,43.5521233,-7.1719959
Nicolo,1,25.7776968,-100.4472229
Tsunami,82,50.411209,16.456876968930523
Japao,4,36.5748441,139.2394179
Shiga,2,35.247154,136.109385
Huatabampo,1,26.604877600000002,-109.23206266403821
Okunoto,1,37.5291193,137.2719209
Nogizaka,2,35.6667086,139.726291
Kenya,2,1.4419683,38.4313975
Osaka Pref,1,34.4370807,135.5707248
Shindo,5,11.0409,11.4614
Japan - Disaster,1,35.6756181,139.7512969
Kastner,2,46.5577275,11.4695633
Ishiba,4,35.0049631,135.8753517
Indian-style,1,-34.5956518,-58.390169
Takada,1,34.5163582,135.7448555
Suzu,21,37.438147,137.2484135
Sigue,1,-0.8036091,-78.9086634
Estoy,1,36.1330358,70.2228806
Mishima,1,35.147361,138.948903
Tran,1,42.8354054,22.6517667
Tokio,2,35.6768601,139.7638947
Iida,2,35.5147101,137.8219519
Endo,4,0.253745,35.6737753
Self-Defense,10,35.446356050000006,140.1839675476864
Universitys,1,32.0119989,35.9366101
Asahi,2,35.7204126,140.6464527
Meteorologica,2,42.07324130000001,12.228839548452742
Kizuna,1,45.566732,9.2830563
Noam Ben,2,31.7096886,34.9920564
Kawanaka,1,34.6817229,135.6282117
Toyama Prefecture,2,36.6468015,137.2183531
Akira,1,33.2287443,75.760678
Kids,2,38.5049355,-106.9424623
Aiko,2,35.4214123,139.3434674
Fukui,4,35.9263502,136.6068127
Oct,6,22.5363896,113.9805156
Nagpur-Mumbai,1,21.0217436,78.9949377
Natsume,1,33.943006,132.780071
Tradition,1,36.006921399999996,-95.90988285385822
Lihua,1,25.3271,106.347
Iida Bay,1,37.3977387,137.2668022506918
Shika,3,37.0664255,136.7577514
Japan - Jan.,1,14.959782950000001,120.59740564554156
Kanto,1,35.30289995,139.83402816219004
Notte,1,52.2513405,13.5222149
Hayashi,1,36.7044327,136.9992784
Hanshin,1,34.721372200000005,135.36164729804025
Uotani,1,35.0116621,138.4760852
Man-made,1,0.9507975,34.16411663208041
Tokyo,7,35.6768601,139.7638947
Narisawa,1,35.6718403,139.721998
Said,1,14.3318349,46.8722055
Shallow M.,1,37.8674751,138.9471095
Peninsula - .,2,41.241167,-81.552618
Joetsu,5,37.1478816,138.2359501
Miyahara,2,35.9403046,139.6095496
Suzuki,3,41.5621778,9.284467452124952
Fukushima Daiichi,1,37.4227348,141.02693042556942
Seki,3,37.9286483,40.7900591
"Ishikawa -,",1,36.9890574,136.8162839
Project -,1,9.60035045,9.758491756703101
Todaiji,1,34.8974571,135.6630684
Hyogo Pref,1,34.9074897,134.8541822
Robin,1,44.9040392,-0.1142225
Toyama,17,36.6468015,137.2183531
Tohoku region,1,39.17361835,140.7319146963863
Amir,1,35.00480565,-1.2377828845838024
segunda-feira,1,-22.92193455,-43.22154872089605
Ethiopia,1,10.2116702,38.6521203
Horyumachi,1,37.3923888,137.1464098
Gempa,1,52.3875232,13.0688683
Hokuriku,1,37.6720247,138.9443043
Asaichi-dori,1,33.5373412,129.89516
Matsumoto,1,36.2382047,137.9687141
Norte,1,50.52896715,3.0883523694464854
Sorry,1,22.8403869,69.3516683
Navy,1,38.8901956,-77.3789218
Temblor,1,13.2549368,-88.6933634082998
Uchi,1,5.7384352,6.6235071
Yuka,1,-14.9867041,22.613105
Kaido,1,49.3051261,2.6044189
Ichinose-cho,1,35.4621992,138.4821403
Shigeo,1,21.407828950000003,-157.97047722365227
U.S.,2,51.4376108,7.3303862
Shinjuku City,1,35.6903294,139.6982495
Heavy,3,-34.429763,-59.6554914
Earst,1,52.0492202,-0.026089783300629943
Industry,2,34.0182252,-117.9593061
Reiwa,4,22.3171544,114.1696064
Matsunami,3,37.3562354,137.2450304
Mitsuo,1,34.9542493,134.4087341
China,4,35.0000663,104.999955
Imabari,1,34.0658182,132.9976758
Giappone,4,36.5748441,139.2394179
Arena,1,38.5627284,16.2110319
M.,4,2.3293744,102.2880962
Ghana,1,8.0300284,-1.0800271
Newsweek,1,53.27636055,-9.076231743412535
Osaka,2,34.6937569,135.5014539
Kaiso,2,1.5362681,30.9678631
Japan - Earthquake,1,35.699822499999996,139.79689403997395
Kishida,11,35.4610773,134.4770731
Surgery -,1,51.4892079,-0.096533
Essa,1,46.0316836,0.7211031
Ehime,1,33.6013646,132.8185275
Nomura,2,38.3278112,140.8631882
Kaga,2,30.3833336,-179.2833333
Kumamoto,2,32.6450475,130.6341345
Nadeshiko,1,38.2252468,140.8914164
IR,1,32.6475314,54.5643516
Follow,1,35.668189,139.7174941
Servicio,1,32.4887991,-116.9605469
Uchinada,4,36.6628934,136.6549747
Makoto,1,9.4738606,-12.3517804
Notojima,1,37.129588,136.98411746123833
Airfield,2,20.18393285,85.78973201375581
Onigiri,1,52.2316649,21.0156387
Toll,2,-38.163441,145.9410446
Shonai,1,38.8499339,139.9042443
Suzu City,1,34.64363685,135.50566042445791
Yabai,1,28.586429,87.6904376
Tadakazu,2,-23.52114715,-46.71207834557249
George,1,30.857421,-88.6537118
Yukas,1,37.6261489,-0.7053842
Yorker,1,40.752795,-73.99363226655242
Aomori,2,40.886943,140.590121
Kaetsu,2,48.8604866,2.3437204
Hanyu-san,1,34.3279811,109.14551
Wataru,2,-24.8587321,129.05940143578357
Guard,4,30.169838050000003,-85.75583301214297
Peninsula - this,1,-38.19513155,145.1585329089603
Yoshimi,2,36.0398422,139.4535343
Transito,1,-1.3134377,134.2369275
Tanabata,1,17.0710493,-96.7216522
Hachijojima,1,33.1024935,139.8076939278656
Shrine,3,8.876775,76.59077640074185
Nanao City,4,23.4240181,117.0189654
Tras,3,3.7401826,101.8095066
Hoshi,1,-5.5435821,29.2926664
Ill,1,40.0796606,-89.4337288
Shigeru,2,-6.9251168,107.636809
Sanandaji,1,35.31428245,46.998739873233
Meteorologi,1,-6.1556902000000004,106.84192835414544
Kamikawa,1,36.2134738,139.1019026
Kobe,1,34.6932379,135.1943764
Tue,1,6.76959,-10.41627
Hiroshi,1,50.1117421,8.7123399
Toshiba Tec,2,4.4241295,114.0081065
Sakamoto,1,37.9242343,140.901033
Centro,1,47.5490251,1.7324062
Hoje,1,46.1070701,13.7347481
Niigata,20,37.6452283,138.7669125
