Location,Frequency,Latitude,Longitude
st anne,1,41.0252,-87.7133804
mariani zone,1,43.93034625,4.773842223036541
damien,2,18.5928942,-72.2911789
jerusalem,1,31.7788242,35.2257626
venezuela,1,8.0018709,-66.1109318
san louis,1,12.1457101,-85.8883426
carefour,1,-6.19775865,106.75149310933719
the red gate,1,52.543674800000005,-7.1910487729276475
la montay,1,45.7344608,5.1899677
atlanta,1,33.7489924,-84.3902644
brochet,1,45.6350375,-1.0393265
lamentin,1,16.2703423,-61.6303025
mexico,1,19.4326296,-99.1331785
caracoli,1,8.114313450000001,-74.07698038691476
united states,2,39.7837304,-100.445882
la,36,20.0171109,103.378253
la hatte,1,18.0795892,-73.6834558
south east,2,-24.62994925,26.045475779882622
fontamara,2,18.5270026,-72.3740812
bourdon,1,49.98703,2.07494
la kolin la,1,47.761388,-1.6302672
france,10,46.603354,1.8883335
jamaica,1,18.1850507,-77.3947693
taba,1,11.242762800000001,7.7888604564267965
bois,1,45.4888007,-0.5994643
dominican republic,2,19.0974031,-70.3028026
lespinas,2,44.9490944,3.1705749
realy,1,41.7978252,12.2473553
georgia,1,32.3293809,-83.1137366
washington,1,47.2868352,-120.212613
komin monbin,1,18.5095095,-72.2728192
la voix,1,45.6475731,3.9894509
paris,1,48.8588897,2.3200410217200766
saint louis,1,38.6280278,-90.1910154
betin,1,20.6238699,-100.4079739
caribbean,2,18.4,-75.0
miami,7,25.7741728,-80.19362
azil,1,43.0794579,1.3613197
verna,1,45.7764,5.28116
switzerland,2,46.7985624,8.2319736
haut,1,44.3461372,-0.03311
bombardopolis,1,19.6911404,-73.3374997
la plaine,2,47.0679529,-0.6356277
college jerusalem,1,18.5294662,-72.4056699
nan kafou,1,19.6936254,-72.1590068
la gonave island,2,18.8318139,-73.0169791266238
montana,2,47.3752671,-109.638757
brachi,1,13.6426167,16.6614833
jedco,1,42.992805950000005,-85.67993998438732
boston,2,42.3554334,-71.060511
mango marion,1,29.1508772,-82.4934844
fort de,1,53.0947076,13.45316499356451
cuba,17,23.0131338,-80.8328748
pwela,1,-8.03109795,31.65596412071546
doesn,3,45.72315235,-94.47015604681278
leogane city,1,18.5111126,-72.6334255
kreole,1,30.4060326,-88.4947361
nirvana,1,-23.9166667,29.4355556
delmar,1,42.0022247,-90.6071297
the dominican republic my,1,38.9132162,-77.048481
mathieu,1,49.2542793,-0.3700957
la voute,1,45.6970319,2.2978727
the dominican republic,11,38.9132162,-77.048481
mang,1,20.4166161,101.6729363
chicago,1,41.8755616,-87.6244212
henfrasa,1,18.55674,-72.298903
hungary,1,47.1817585,19.5060937
north west,1,-19.3893529,23.267951
st louis,1,38.6280278,-90.1910154
rosa city,1,19.3425891,-99.0662564
lakolin,1,18.4709843,-72.5735663
africa,3,11.5024338,17.7578122
alaza,1,38.525496,-104.6794834
canada,19,61.0666922,-107.991707
la gonav,2,18.8318139,-73.0169791266238
iraq,1,33.0955793,44.1749775
matye,1,-3.6764842,-80.6663734
belanton,1,47.2361922,-1.5719693
jacmel,7,18.2352587,-72.5375127
florida,3,27.7567667,-81.4639835
nan,1,46.3144754,11.0480288
shada,1,31.4533001,77.5503874
orlando,1,28.5421109,-81.3790304
us,21,39.7837304,-100.445882
citron,1,3.1875333,-52.3961333
aquin,2,18.2809005,-73.394446
la zone,1,50.6375439,5.5807008
united state,1,-37.7476974,145.022227
philadelphia,2,39.9527237,-75.1635262
la gonave,3,18.8318139,-73.0169791266238
nearr,1,27.7076941,85.3290836
the south east,1,30.4256404,-91.17745396719786
sou li,1,-9.26058,125.14448
america,2,39.7837304,-100.445882
delmas,8,18.5518464,-72.2920071
sou,1,50.95191505,-1.3561000015780094
jacmel city,1,18.2352587,-72.5375127
the united states,8,47.8281626,-122.598365
prince zone,1,31.5719998,35.1414439
haiti,184,19.1399952,-72.3570972
west port,1,55.9460511,-3.2012514
