Location,Frequency,Latitude,Longitude
iraq,281,33.0955793,44.1749775
kurdistan,15,35.672803,47.0124376
israel,11,30.8124247,34.8594762
kuwait,11,29.3796532,47.9734174
kermanshah province,6,34.486732,46.80872699
tehran,5,35.6892523,51.3896004
halabja,4,35.1792062,45.9873683
pakistan,4,30.3308401,71.247499
turkey,3,38.9597594,34.9249653
dubai,3,25.07428235,55.18853865
middle east,2,39.3014159,-76.5888477
algeria,2,28.0000272,2.9999825
costa rica,2,10.2735633,-84.0739102
italy,2,42.6384261,12.674297
us,2,39.7837304,-100.445882
azerbaijan,2,40.3936294,47.7872508
uae,2,24.0002488,53.9994829
smart city,1,47.0795883,15.4109574
washington,1,38.8950368,-77.0365427
japan,1,36.5748441,139.2394179
baghdad,1,33.3061701,44.3872213
najaf,1,32.0010227,44.3299926
the middle east,1,35.8696053,-84.1210495
haiti,1,19.1399952,-72.3570972
persia,1,41.5794887,-95.56894
toronto,1,43.6534817,-79.3839347
buhari,1,20.9704262,73.3079159
emsr,1,50.78764235,0.285880277
russia,1,64.6863136,97.7453061
morocco,1,28.3347722,-10.37133791
karzin county,1,28.3284196,52.9817434
kabul,1,34.5260109,69.1776838
kamran,1,16.497153,44.805204
iran city,1,-4.0141449,-79.2146914
mexico,1,19.4326296,-99.1331785
china,1,35.000074,104.999927
al miqdadiyah,1,33.975762,44.970305
bhuj,1,23.2472446,69.668339
