Location,Frequency,Latitude,Longitude
gazintep,300,37.09,37.01
lebanon,196,40.375713,-76.4626118
india,95,22.3511148,78.6677428
pakistan,44,30.3308401,71.247499
jordan,35,44.6663146,-93.6261918
iraq,32,33.0955793,44.1749775
israel,31,30.8124247,34.8594762
south east,15,-24.62994925,26.04547578
malatya province,13,40.740393,30.0185395
adana,12,36.9863599,35.3252861
greece,12,43.2097838,-77.6930602
south eastern turkey,12,21.4201042,39.8930959
egypt,10,26.2540493,29.2675469
iran,10,32.6475314,54.5643516
palestine,10,31.7621153,-95.6307891
russia,10,64.6863136,97.7453061
southeast turkey,10,40.664902,-81.241722
us,9,39.7837304,-100.445882
hama,8,35.1343368,36.7496276
istanbul,8,41.0766019,29.052495
italy,8,42.6384261,12.674297
kurdistan,8,35.672803,47.0124376
europe,7,51,10
middle east,7,39.3014159,-76.5888477
beirut,6,33.8959203,35.47843
florida,6,27.7567667,-81.4639835
uk,6,6.3110548,20.5447525
azerbaijan,5,40.3936294,47.7872508
cairo,5,30.0443879,31.2357257
japan,5,36.5748441,139.2394179
netherlands,5,52.2434979,5.6343227
poland,5,52.215933,19.134422
the middle east,5,35.8696053,-84.1210495
ukraine,5,49.4871968,31.2718321
california,4,36.7014631,-118.755997
canada,4,61.0666922,-107.991707
damascus,4,33.5130695,36.3095814
france,4,46.603354,1.8883335
georgia,4,32.3293809,-83.1137366
hatay province,4,36.3451332,36.0748022
adıyaman,3,37.78936,38.3141101
adana turkey,3,37.1438001,35.4984094
britain,3,54.3151594,-1.918153211
bulgaria,3,42.6073975,25.4856617
don,3,50.5461539,2.9158784
earth,3,34.2331373,-102.4107493
elbistan district,3,47.0388057,7.6244125
gaza,3,31.4432234,34.360007
kahramanmaras,3,37.7830345,36.830655
northern governor,3,15.21224935,145.752403
the south east,3,30.4256404,-91.17745397
adana huzurevleri,2,37.0381461,35.2789157
america,2,39.7837304,-100.445882
china,2,35.000074,104.999927
finland,2,63.2467777,25.9209164
germany,2,51.1638175,10.4478313
jericho,2,44.4897051,-72.96228114
kashmir,2,26.2644203,71.6027498
london,2,51.4893335,-0.144055085
malatya,2,38.3487153,38.3190674
serbia,2,44.02432285,21.07657433
south eastern,2,35.396144,-99.381832
south turkey,2,43.30883,-92.2447997
tel aviv,2,32.0852997,34.7818064
the united states,2,47.8281626,-122.598365
turkish province,2,46.0601618,11.2374195
afghanistan,1,33.7680065,66.2385139
al arabiya,1,17.0152573,54.093151
albania,1,1.2315264,-75.89204331
amanda,1,39.649508,-82.7443367
amman,1,31.9515694,35.9239625
anatolia,1,39,32
antalya city,1,36.8864752,30.7029585
asia africa europe,1,21.4173497,39.9001468
baghdad,1,33.3061701,44.3872213
bhai,1,32.0574817,76.2757158
brazil,1,-10.3333333,-53.2
buhari,1,11.414802,8.250821
caracas venezuela,1,10.5060934,-66.9146008
daura,1,11.76484385,7.951789532
delhi,1,28.6273928,77.1716954
diyarbakir,1,37.9162222,40.2363542
duas,1,43.3571048,-8.4083835
east meda,1,6.1172143,80.2553415
east mediterranean,1,59.3294531,18.0672982
east south,1,38.0076542,-89.2234533
eastern turkiye,1,38.49657575,44.31605744
frankfurt,1,50.1106444,8.6820917
gibi,1,6.56102575,-10.00636473
gujarat,1,22.3850051,71.745261
hassa turkey,1,38.737602,36.110626
hatay city,1,53.4653152,9.9621853
illahi,1,31.5787579,74.3133453
indonesia,1,-2.4833826,117.8902853
italy hungary,1,47.70483,17.72716
janah,1,23.8965118,56.6053685
kayseri,1,38.7219011,35.4873214
kazakhstan,1,48.1012954,66.7780818
khelo,1,33.2065694,69.5171276
latakia,1,35.5200185,35.7781044
madad,1,24.7829414,84.5373535
malatya city,1,38.3487153,38.3190674
malatya turkey,1,38.3487153,38.3190674
manila,1,14.5906346,120.9799964
maraş city,1,37.5812744,36.927509
maras,1,37.5940358,61.8397935
maras province,1,37.5940358,61.8397935
mediterranean,1,53.8636995,27.55160818
mexico,1,19.4326296,-99.1331785
mideast,1,10.0898931,76.3963562
modi,1,28.31079015,83.7162705
muzaffarabad,1,34.3767316,73.4767389
nabaa,1,25.8341937,44.2105626
naira,1,12.2931,8.73284
nevşehir,1,38.7235072,34.7194168
nicosia,1,35.1746503,33.3638783
nigeria,1,9.6000359,7.9999721
ninewa,1,36.0367935,42.3168623
nw province,1,-25.79638305,25.62581331
oha,1,-0.4812638,127.9668736
ozil,1,44.58065035,4.43230587
polygon,1,48.6337607,7.5750892
portugal,1,39.6621648,-8.1353519
puk,1,-4.4020694,144.8589129
rajendran,1,12.1333024,75.18445965
rojava,1,24.16819605,-13.89214303
rt united states,1,39.9165031,-74.7126592
san francisco,1,37.7792588,-122.4193286
san francisco america,1,37.7792588,-122.4193286
seattle,1,47.6038321,-122.330062
south,1,2.7497556,11.4860732
south province,1,-22.27584205,166.6417946
south turkiye,1,-35.307763,149.1184377
southeast asia,1,-8.7287308,115.2365646
spain,1,39.3260685,-4.8379791
sse province,1,51.7568777,19.80697935
sweden,1,59.6749712,14.5208584
tehran,1,35.6892523,51.3896004
thailand,1,7.4931858,124.724704
the south eastern,1,29.48480935,60.87304078
turkey pazarcık,1,40.7478554,40.2420431
turkiye,1,38.9597594,34.9249653
turkiye turkiye,1,38.9597594,34.9249653
uae,1,24.0002488,53.9994829
united states,1,39.7837304,-100.445882
yemi,1,37.2124522,128.6483309
