text,date,processed_text
Hey    Turkish users are getting a rate limit exceeded warning every time they try to send consecutive tweets. Thought you may want to look at that    ,2023-02-06 13:04:30+00:00,hey turkish users are getting rate limit exceeded warning every time they try to send consecutive tweets thought you may want to look at that 
May Allah have mercy on all those who passed away and make it easy for all those affected by the devastating earthquake in Turkey &amp; Syria    ,2023-02-06 13:04:30+00:00,may allah have mercy on all those who passed away and make it easy for all those affected by the devastating earthquake in turkey amp syria 
We Stand with Turkey ,2023-02-06 13:04:31+00:00,we stand with turkey 
🔔 ( M3.9 occurred 21 km E of  ( 37 min ago (local time 15:27:46). More info at:📱🌐🖥 ,2023-02-06 13:04:33+00:00, occurred km of min ago local time smile more info at 
"🚨 Former Newcastle United star Christian Atsu is among the victims reportedly trapped under rubble after a massive earthquake struck Turkey, prompting search and rescue efforts. The  We wish everyone who has been injured a speedy recovery.  ",2023-02-06 13:04:33+00:00, former newcastle united star christian atsu is among the victims reportedly trapped under rubble after massive earthquake struck turkey prompting search and rescue efforts the we wish everyone who has been injured speedy recovery 
"My heart is heavy for people in    , May Allah have mercy on them.Amen ",2023-02-06 13:04:34+00:00,my heart is heavy for people in may allah have mercy on them amen 
"Turkey has declared a fourth level alert state. The ""level 4"" alarm condition includes an international call for help. For those pf you around the world reading this message.. Our people who were under the rubble of earthquake in my country need your help to be saved. ",2023-02-06 13:04:40+00:00,turkey has declared fourth level alert state the level alarm condition includes an international call for help for those pf you around the world reading this message our people who were under the rubble of earthquake in my country need your help to be saved 
 scenes Scary.. ,2023-02-06 13:04:41+00:00, scenes scary 
"BREAKING:  At least 1,600 dead in a massive 7.8 Earthquake in Turkey and Syria this morning. Prayers 🙏 go out to our brothers and sisters and everyone in the region.        ",2023-02-06 13:04:43+00:00,breaking at least dead in massive earthquake in turkey and syria this morning prayers go out to our brothers and sisters and everyone in the region 
Thinking about all those who have lost family and friends in    ,2023-02-06 13:04:47+00:00,thinking about all those who have lost family and friends in 
  hitting back to back centuries in 1998 at  specially the Desert Storm             ,2023-02-06 13:04:50+00:00, hitting back to back centuries in at specially the desert storm 
Prayers for all affected areas     ,2023-02-06 13:04:54+00:00,prayers for all affected areas 
"🚨The aftermath of the powerful earthquake on the streets of Gaziantep, southern  : Local source   ",2023-02-06 13:04:57+00:00, the aftermath of the powerful earthquake on the streets of gaziantep southern local source 
" In such a situation, the whole world should come forward and help Turkey in every way, this is a natural calamity which can happen anywhere. ",2023-02-06 13:05:03+00:00, in such situation the whole world should come forward and help turkey in every way this is natural calamity which can happen anywhere 
People wait in hope for families to be rescuedRescuers are racing to save people trapped beneath the rubble after hundreds of buildings collapsed in both countries.       ,2023-02-06 13:05:04+00:00,people wait in hope for families to be rescuedrescuers are racing to save people trapped beneath the rubble after hundreds of buildings collapsed in both countries 
Pray for  and Syria 💔😔 ,2023-02-06 13:05:06+00:00,pray for and syria 
"Breaking: The Gaziantep Castle, which was built more than 2,200 years ago, collapsed during the earthquake.  ",2023-02-06 13:05:11+00:00,breaking the gaziantep castle which was built more than years ago collapsed during the earthquake 
Türkiye 💔 My thoughts and prayers are with the people!,2023-02-06 13:05:14+00:00,türkiye my thoughts and prayers are with the people 
   Pray For Turkey ,2023-02-06 13:05:20+00:00, pray for turkey 
"Earthquakes continue to rock Turkey. Another 6.0 quake hit Turkey few mins ago, along with numerous aftershocksPeople in Turkey have already felt 46 earthquakes of varying magnitude in the last 12 hours alone  ",2023-02-06 13:05:26+00:00,earthquakes continue to rock turkey another quake hit turkey few mins ago along with numerous aftershockspeople in turkey have already felt earthquakes of varying magnitude in the last hours alone 
IT IS ANNOUNCED THAT A TOTAL OF 1710 BUILDINGS HAVE BEEN DESTROYED DUE TO THE EARTHQUAKE There are aftershocks or buildings that have been damaged and subsequently demolished     ,2023-02-06 13:05:27+00:00,it is announced that total of buildings have been destroyed due to the earthquake there are aftershocks or buildings that have been damaged and subsequently demolished 
  We praying for u Atsu 🙏🙏🙏🙏 ,2023-02-06 13:05:32+00:00, we praying for atsu 
Praying for people in Turkey.  🙏🏻,2023-02-06 13:05:32+00:00,praying for people in turkey 
"A 7.8-magnitude  struck southeastern  and  early Monday, toppling  of  and  1,300 people.     is located in a zone of large seismic faults and registers frequent  ",2023-02-06 13:05:33+00:00, magnitude struck southeastern and early monday toppling of and people is located in zone of large seismic faults and registers frequent 
 This guy warned two days ago  ,2023-02-06 13:05:33+00:00, this guy warned two days ago 
"Indonesia 2004, Haiti 2010, China 2008, Pakistan 2005, Iran 2003 Japan 2011, India 2001, Nepal 2015, TURKEY 2023... We should be united and help each other. no more bullshit, war and etc   ",2023-02-06 13:05:37+00:00,indonesia haiti china pakistan iran japan india nepal turkey we should be united and help each other no more bullshit war and etc 
"2,200 Years Old  Castle Destroyed By Earthquake ( In  . :  ",2023-02-06 13:05:38+00:00, years old castle destroyed by earthquake in 
Prays for 🇮🇳 🇹🇷,2023-02-06 13:05:50+00:00,prays for 
Thoughts and Prayers with all those affected by the Earthquakes in Syria and Turkey Ya Allah hv mercy on muslim ummah every one is suffering either by natural disasters or by induced suppressed by supressors💔💔💔  💔,2023-02-06 13:05:51+00:00,thoughts and prayers with all those affected by the earthquakes in syria and turkey ya allah hv mercy on muslim ummah every one is suffering either by natural disasters or by induced suppressed by supressors 
Pray for Turkey and Syria🙏❤️,2023-02-06 13:05:54+00:00,pray for turkey and syria 
Pope Francis’s telegrams to Turkey and  following the  promising prayers and expressing closeness to both nations.  ,2023-02-06 13:05:54+00:00,pope francis telegrams to turkey and following the promising prayers and expressing closeness to both nations 
Big breaking turkey earthquake7.8 pointer centralised turkey     ,2023-02-06 13:05:56+00:00,big breaking turkey earthquake pointer centralised turkey 
"Mathrubhumi English | Evening Brief | February 06, 2023      ",2023-02-06 13:05:57+00:00,mathrubhumi english evening brief february 
"Very sad day for the people of  &amp;  after a devastating earthquake caused so many deaths, and many people still trapped under the rubble 💔 ",2023-02-06 13:05:57+00:00,very sad day for the people of amp after devastating earthquake caused so many deaths and many people still trapped under the rubble 
God Save  Second strong earthquake of 7.8 MAG shakes the Middle East region.Another  just hit ,2023-02-06 13:05:57+00:00,god save second strong earthquake of mag shakes the middle east region another just hit 
For the people in   ,2023-02-06 13:05:59+00:00,for the people in 
Biggest plot twist in  would be Man Utd winning it,2023-02-06 13:06:00+00:00,biggest plot twist in would be man utd winning it
" This is like human made disasters    , ,",2023-02-06 13:06:04+00:00, this is like human made disasters 
" death toll rises to 1,014, emergency management says",2023-02-06 13:06:05+00:00, death toll rises to emergency management says
"Turkey has declared a fourth level alert state. The ""level 4"" alarm condition includes an international call for help. For those of you around the world reading this message.. Our people who were under the rubble of earthquake in my country need your help to be saved. ",2023-02-06 13:06:09+00:00,turkey has declared fourth level alert state the level alarm condition includes an international call for help for those of you around the world reading this message our people who were under the rubble of earthquake in my country need your help to be saved 
"ℹEvent wrap-up: today a M6.0  ( hit  ( at 15:02:11 local time (UTC 12:02:11). Shaking was felt over 600km by approximately 78M people in Turkey, Syria, Cyprus, Georgia, Syrian Arab Republic and Lebanon.",2023-02-06 13:06:10+00:00,ℹevent wrap up today hit at local time utc smile shaking was felt over km by approximately people in turkey syria cyprus georgia syrian arab republic and lebanon 
This researcher warned two days ago  ,2023-02-06 13:06:11+00:00,this researcher warned two days ago 
He predicted it a couple of days back 😳    ,2023-02-06 13:06:12+00:00,he predicted it couple of days back 
For everybody in Turkey and 🇸🇾 there is an other Earthquake expected between 17;00 and 19:00 please stay safe     ,2023-02-06 13:06:15+00:00,for everybody in turkey and there is an other earthquake expected between and please stay safe 
Thoughts and prayers for all affected by a massive 7.8 magnitude  hit in  Large scale destruction and loss of lives being reported.   ,2023-02-06 13:06:17+00:00,thoughts and prayers for all affected by massive magnitude hit in large scale destruction and loss of lives being reported 
Devastating news out of  Another building collapse in the aftermath of the aftershocks while rescue teams were looking for survivors   ,2023-02-06 13:06:17+00:00,devastating news out of another building collapse in the aftermath of the aftershocks while rescue teams were looking for survivors 
"Dear non-Turkish friends, please read:There has been two destructive earthquakes (magnitudes 7.8 &amp; 7.6) in southeastern Turkey today. We do not know how many people has died or how many are under the rubbles of thousands of buildings collapsed. (1/2)   ",2023-02-06 13:06:34+00:00,dear non turkish friends please read there has been two destructive earthquakes magnitudes amp in southeastern turkey today we do not know how many people has died or how many are under the rubbles of thousands of buildings collapsed 
The air corridor established by the Turkish military to transport aid to the earthquake zone is actively in use with their transport aircraft.    ,2023-02-06 13:06:38+00:00,the air corridor established by the turkish military to transport aid to the earthquake zone is actively in use with their transport aircraft 
May Allah protect them All 🙏  ,2023-02-06 13:06:38+00:00,may allah protect them all 
🔔 ( M4.7 occurred 27 km NW of  ( 30 min ago (local time 15:37:05). More info at:📱🌐🖥 ,2023-02-06 13:06:40+00:00, occurred km nw of min ago local time smile more info at 
Heartbreaking visuals coming from   and  after a massive  May Allah protect them all from every sorts of natural and artificial disaster Ameen  🤲🏻    ,2023-02-06 13:06:41+00:00,heartbreaking visuals coming from and after massive may allah protect them all from every sorts of natural and artificial disaster ameen 
"Major destruction in Elbistan,  which is near the epicenter of the new  ",2023-02-06 13:06:42+00:00,major destruction in elbistan which is near the epicenter of the new 
"Latest  reporting. 925 people have lost their lives. Over 2,000 rescued from under the rubble.  ",2023-02-06 13:06:46+00:00,latest reporting people have lost their lives over rescued from under the rubble 
Pakistan stands with Turkiye in this hour of grief &amp; ready to extend all possible assistance. ,2023-02-06 13:06:53+00:00,pakistan stands with turkiye in this hour of grief amp ready to extend all possible assistance 
"Woke up to an intense shaking and loud sound of the  in  They say it was only 3.8, but felt like a 7! 😲 I think it's no coincidence that  occurred less than an hour after ",2023-02-06 13:06:54+00:00,woke up to an intense shaking and loud sound of the in they say it was only but felt like think it no coincidence that occurred less than an hour after 
"India to send search &amp; rescue teams, medical teams to Two teams of  comprising 100 personnel with specially trained dog squads, medical teams and necessary equipments will be dispatched in coordination.   ",2023-02-06 13:06:55+00:00,india to send search amp rescue teams medical teams to two teams of comprising personnel with specially trained dog squads medical teams and necessary equipments will be dispatched in coordination 
Form 👇      ,2023-02-06 13:06:56+00:00,form 
Scary visuals ,2023-02-06 13:06:58+00:00,scary visuals 
The map tells all the story.It literally looks like a fault line just broke and it still keeps moving.I hope it won't bring more sad news.    ,2023-02-06 13:07:03+00:00,the map tells all the story it literally looks like fault line just broke and it still keeps moving hope it won bring more sad news 
