text,date,category
RT @FCBarcelona: Our solidarity with the victims of the earthquake in Mexico https://t.co/4R52KTn7CB,20_9_2017,not_humanitarian
Mexico earthquake: Many children killed at primary school https://t.co/h0uPkN13mH https://t.co/0vGA5lj758,20_9_2017,injured_or_dead_people
Obamaâ€™s Response To The Earthquake In #MexicoCity Is What A Real #President #SoundsLike... https://t.co/5EFdMNUgWS https://t.co/ITx4uVwgxf,20_9_2017,not_humanitarian
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,20_9_2017,rescue_volunteering_or_donation_effort
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,20_9_2017,rescue_volunteering_or_donation_effort
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,20_9_2017,rescue_volunteering_or_donation_effort
"NEWS: At least 200 people, including 21 children, have died in Mexico after an earthquake hit the country. https://t.co/Wzp6DSKdTs",20_9_2017,injured_or_dead_people
"RT @TravelLeisure: Deadly earthquake shakes Mexico City, causes buildings to crumble https://t.co/Ad7BYyR1b6 https://t.co/3Qu2wvMbWu",20_9_2017,infrastructure_and_utility_damage
RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,20_9_2017,other_relevant_information
RT @PaulKiarie_: 7.1 magnitude earthquake hits Mexico Central. 248 deaths so far. á½¢2 #FuerzaMexico #PrayForMexico https://t.co/aqLQ8TcvJJ,20_9_2017,injured_or_dead_people
At least 49 dead as strong 7.1 magnitude earthquake hit MexicoÂ City https://t.co/6wECTRmUuA https://t.co/8BP2hQ5Ilq,20_9_2017,injured_or_dead_people
RT @jorge_guajardo: Mexico City airport after today's earthquake. https://t.co/5UKQ54WLAz,20_9_2017,other_relevant_information
"Earthquake causes widespread damage around Mexico City, kills at least 217 people - https://t.co/pJvRR9J9Mo https://t.co/Dj0Yv3K7ym via tâ€¦",20_9_2017,injured_or_dead_people
(Vice):More Than 200 #Dead After #Earthquake Rocks Mexico City : The death toll is.. https://t.co/QxFQXCVt85 https://t.co/oq9U1LgP19,20_9_2017,injured_or_dead_people
"RT @thehill: Obama sends ""big hug"" to Mexico after deadly earthquake https://t.co/KFfWLIgPH0 https://t.co/MIA6AOc8wy",20_9_2017,not_humanitarian
".@Beyonce, @BarackObama, and @selenagomez are among those to offer kind words for Mexico. https://t.co/BYsAAYx9Mi https://t.co/voQElTGntm",20_9_2017,other_relevant_information
#Mexico City Hit by 7.1 Earthquake - https://t.co/ZUcQaFKpkN https://t.co/d9NnYfu9Qc,20_9_2017,other_relevant_information
RT @thedailybeast: Images from Mexico City's devastating earthquake https://t.co/r0XsVnmbZi https://t.co/C67tmHFIJe,20_9_2017,infrastructure_and_utility_damage
NFL reviewing whether Mexico City game can go on after earthquake https://t.co/oGzlLeZbL8 #fantasyfootball https://t.co/NMWy5IlgSk,20_9_2017,other_relevant_information
RT @BBGVisualData: Hushed Crews Listen for Survivors After Mexico Earthquake Toll Tops 200 https://t.co/skY2sAZoMT https://t.co/wDwMrlVp7y,20_9_2017,other_relevant_information
#Rescuers search rubble as dawn breaks in Mexico City; earthquake toll hits 217 - https://t.co/9idfIxXr7N https://t.co/xP5raBAejH,20_9_2017,infrastructure_and_utility_damage
Sending our thoughts and prayers out to Mexico. What a horrendous earthquake. @TheRealSambora @orianthi @RSOofficial https://t.co/B18hxlFmBz,20_9_2017,other_relevant_information
Foreign Office issues warning following Mexico earthquake https://t.co/SIOmAG4gTh https://t.co/mB0NIvfQGp,20_9_2017,other_relevant_information
(The human tragedy of Mexico's 1985 earthquake Video) #latest #news #followback - https://t.co/gqG0Zm1gDK https://t.co/yt3pY6cwSA,20_9_2017,other_relevant_information
RT @leeunkrich: MEXICO EARTHQUAKE RELIEF: @topos PayPal donations: donativos@brigada-rescate-topos.org topos.mx https://t.co/YwXCLb69i3,20_9_2017,rescue_volunteering_or_donation_effort
RT @geogabout: Death toll rises to 226 as powerful earthquake topples buildings in Mexico https://t.co/JM00zkKOpr https://t.co/SCTl4qv8Wh,20_9_2017,injured_or_dead_people
Prayers for the millions people affected by the powerful earthquake in Mexico. á½‰Aá¼Ÿ2á¼ŸDâ¤ï¸ #MexicoFuerte #MexicoCity https://t.co/oMvAvXiF1e,20_9_2017,not_humanitarian
Mexico earthquake: Praise for those who raced to help others https://t.co/YzNx5JmTSR https://t.co/h0vYeSEyN0,20_9_2017,not_humanitarian
.@LatinGRAMMYs suspend nominees announcement following Mexico earthquake https://t.co/Kix5M31n79 #LatinGRAMMY https://t.co/X63yaewRgI,20_9_2017,other_relevant_information
RT @BIUK: This drone footage shows the devastation caused by the 7.1 magnitude earthquake in Mexico. https://t.co/zI9IbOXFPE,20_9_2017,infrastructure_and_utility_damage
@DUALIPA #sismo earthquake in mexico https://t.co/uG4QOSmzOT,20_9_2017,other_relevant_information
New Zealand shaken by large tremors just hours after Mexico City earthquake #D20 https://t.co/tEQitV3xAk https://t.co/3NaU8n1IIM,20_9_2017,other_relevant_information
RT @realDailyWire: WATCH: Multiple Buildings Collapse During Earthquake In Mexico City https://t.co/f0okN3sYpG https://t.co/CtCptwerXN,20_9_2017,infrastructure_and_utility_damage
