,id,text,time stamp
0,@EN_NERV,"Major Tsunami Warning , pm The Tsunami Warning has been upgraded to a Major Tsunami Warning. Waves of up to m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami",01-01-2024
3,@Masabxpct,magnitude. strong earthquake earthquake Noto Ishikawa Japan Tsunami warning,01-01-2024
5,@matttttt187,"JUST IN JAPAN HAD OVER EARTHQUAKES IN TWO HOURS Noto, Ishikawa Prefecture - ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., . Off the Coast of Noto",01-01-2024
6,@noticias4vision,"Ahora Japon sufrio en el inicio de este un sismo de ,. Sacudio la peninsula de Noto, en la prefectura de Ishikawa, Japon, dejando a varias personas atrapadas bajo los escombros en la ciudad de Wajima. El Centro de Alerta de Tsunamis se activo inmediatamente, pero la",01-01-2024
8,@gaijintacle,"Desgraciadamente, Japon comenzo este sufriendo un fuerte terremoto de magnitud preliminar . en Noto, Ishikawa, que llego a sentirse en Kanto y Tokio. Video grabado por del momento del terremoto en la estacion de Kanazawa. Japon",01-01-2024
12,@RSBR_Oficial,"Tsunami chegando a area da Peninsula de Noto, em Ishikawa, no Japao, apos o Terremoto de magnitude . atingir o pais.",01-01-2024
14,@DimeFred2,"Nos despertamos bravas, eh? Este lunes, a las pm en Mexico eran las am, se produjo un sismo de . grados en la region de Noto, en la prefectura de Ishikawa, Japon. Verga, wey... El viene bien emperrado. Ni con las uvitas que nos comimos la vamos a armar.",01-01-2024
15,@mondoterremoti,"Il nuovo anno inizia nel peggiore dei modi. Poche ore fa un violento terremoto di magnitudo . si e verificato sulla penisola di Noto, in Giappone. Purtroppo ce stato ed e ancora in corso un brutto tsunami, ci sono stati molti crolli e frane. A breve il nostro approfondimento",01-01-2024
16,@LiveStormChaser,"Earlier video showing smaller wave caused by the earthquake off the coast of the Noto Peninsula in western Japan traveling up the Seki River in Joetsu City, Niigata Prefecture. Tsunami warnings still in place!",01-01-2024
18,@volcaholic1,"UNCONFIRMED video of considerable damage in Noto, Japan following a . magnitude earthquake striking km northeast of Anamizu, Japan..... Credit to the original uploader",01-01-2024
22,@CerebrosG,"De ultimo momento Japon emite una alerta de tsunami para casi toda su costa occidental tras un potente terremoto de magnitud que sacudio el lunes la peninsula de Noto, a unos kilometros de Tokio.",01-01-2024
23,@RedGeoChile,"JAPON Registros recopilados por personas que captaron el momento exacto del terremoto . Mw USGS o . Mj JMA en la peninsula de Noto, Honshu. Notable y violenta sacudida debido a la cercania del evento sismico a las hora local. Kanazawa",01-01-2024
24,@MeteoExpress,"a debute par un puissant seisme magnitude , au Japon ! Images des degats dans la peninsule de Noto. Une alerte au tsunami a ete lancee. via",01-01-2024
25,@RedGeoChile,"TSUNAMI EN JAPON Tren de paredes de agua originadas por el terremoto . Mw USGS en la peninsula de Noto, ha ingresado en varios puntos de la costa occidental del pais. Rio Seki en la ciudad de Joetsu, prefectura de Niigata. .",01-01-2024
26,@EN_NERV,The Major Tsunami Warning has been downgraded to a Tsunami Warning. Downgraded from Major Tsunami Warning to Tsunami Warning Noto Peninsula of Ishikawa Prefecture Do not return home until all tsunami warnings advisories have been lifted. japan tsunami,01-01-2024
27,@EN_NERV,"Tsunami Warning , pm A Tsunami Warning has been issued. Waves of up to m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami",01-01-2024
29,@EN_NERV,"Earthquake Detailed Report At around pm, an earthquake with a magnitude of . occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was . Tsunami warningsadvisories have been issued. earthquake",01-01-2024
31,@EN_NERV,"Earthquake Detailed Report At around pm, an earthquake with a magnitude of . occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was . Tsunami warningsadvisories have been issued. earthquake",01-01-2024
36,@nippon_es,"A las se produjo un temblor de magnitud , cerca de la peninsula de Noto, en Ishikawa. Hay alerta de tsunami. El agua podria alcanzar metros en algunas costas en las prefecturas de Niigata, Toyama e Ishikawa, y en la isla de Sado. Agencia Meteorologica de Japon",01-01-2024
37,@CPPGeophysics,"The aftershock pattern in purple suggests that the M. Noto earthquake ruptured bilaterally, with the preliminary NEIC slip model also indicating slip on both sides of the epicenter",01-01-2024
39,@EarthUncutTV,"Major earthquake off Noto Pensinsula Japan, emergency alert on phone and very noticeable shaking here in central Nagano. Preliminary M. with Shindo shaking, this is a major event",01-01-2024
45,@EN_NERV,"Tsunami Advisory , am The Tsunami Advisory has been updated. Waves of up to m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami",01-01-2024
47,@CAO_BOUSAI,"Earthquake Information JST on Jan , Seismic intensity at Noto, Ishikawa Prefecture. EpicenterNoto, Ishikawa Prefecture, depth very shallow, estimated magnitude .. Tsunami warning has been issued.",01-01-2024
48,@EN_NERV,"Tsunami Advisory , am The Tsunami Warning has been downgraded to a Tsunami Advisory. Waves of up to m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami",01-01-2024
52,@CAO_BOUSAI,"Major Tsunami Warning Currently, a major tsunami warning is issued for Noto Area, Ishikawa Prefecture. View estimated arrival times and heights here JMA website",01-01-2024
56,@CAO_BOUSAI,"Earthquake Information JST on Jan , Seismic intensity at Noto, Ishikawa Prefecture. EpicenterNoto, Ishikawa Prefecture, depth km, estimated magnitude .. Tsunami warning has been issued.",01-01-2024
59,@chematierra,PRECAUCION Tras el terremoto de M. en Japon Se ha emitido alerta de tsunami. Se preve un tsunami de metros en la peninsula de Noto.,01-01-2024
61,@CAO_BOUSAI,"Earthquake Information JST on Jan , Seismic intensity at Noto, Ishikawa Prefecture. EpicenterNoto, Ishikawa Prefecture, depth very shallow, estimated magnitude .. Tsunami warning has been issued.",01-01-2024
62,@SkyAlertMx,"TerremotoJapon - Se registran serios danos en poblaciones cercanas al epicentro, como en Noto. El tsunami en esa zona ha alcanzado olas de hasta metros de altura. Sigue la alerta local vigente.",01-01-2024
67,@proceso,Llegan los primeros tsunamis a la costa oeste de Japon tras el terremoto de la peninsula de Noto Videos,01-01-2024
68,@DrWendyRocks,"This is a video of the tsunami caused by the earthquake off the coast of the Noto Peninsula that occurred on January , , traveling up the Seki River in Joetsu City, Niigata Prefecture. Photographed from the second floor of my home.",01-01-2024
78,@DanielKahl,"A large earthquake struck near the Noto Peninsula in Toyama Prefecture central Japan at . A large tsunami warning has been issued. If you are anywhere near the Sea of Japan in the Hokuriku Region Fukui, Ishikawa, Toyama, head to higher ground immediately.",01-01-2024
85,@business,Japan issues a tsunami warning for its almost all of its western coast after a powerful earthquake with a magnitude . hit off the Noto Peninsula about km from Tokyo on Monday,01-01-2024
