location,latitude,longitude
Anamizu,37.23333,136.9
Asahi,35.90469,136.6628
Chuetsu,35.6450369,139.8014078
Chunichi,35.1788941,136.8971189
Fuji,35.16667,138.68333
Fukui,35.85,136.21667
Giappone,36.2048,138.2529
Hachijojima,33.1024935,139.8076939
Haga,35.19952,140.28277
Hakui,36.88333,136.78333
Haneda,35.54913,139.7456
Himi,36.84666,136.98355
Hiroshima,34.4,132.45
Hokuriku,37.87037071,139.0316648
Honshu island,37.4902775,139.8357431
Honshu,37.4902775,139.8357431
Honshus,36.17,138.04
Hyogo,35.03333,134.81667
Ishikawa,35.53333,135.13333
Ishikawa prefecture,36.9890574,136.8162839
Joetsu,37.14828,138.23642
Kaga,42.8,143.18333
Kaiso,34.1534,135.3933
Kanazawa,36.6,136.61667
Kanto,36.4599,139.6911
Kishida,35.4995884,134.4610013
Komatsu,36.71674,138.98007
Kumamoto,32.61667,130.75
Kyodo,35.64933,139.63205
Minami,36.07342,133.09931
Mitsuke,37.53333,138.93333
Nagano,36.65,138.18333
Nakabayashi,36.50881,136.60405
Nanao,37.03333,136.96667
Narisawa,36.11709,139.34758
Niigata,37.88637,139.00589
Niigata Prefecture,37.6452283,138.7669125
Nogizaka,35.6667086,139.726291
Nomura,33.37706,132.64395
Noto,37.308,137.149
Noto peninsula,37.4036,136.9467
Notojima,37.129588,136.9841175
Onominato,34.2807556,135.2858083
Sado,38.79842,140.21994
Sakamichi,38.7471125,140.7199985
Sakurazaka,33.5772939,130.3868726
Seiji,36.02711,139.73872
Seki,38.56032,139.5495
Shiga Town,35.3292,136.0563
Shika Town,37.0065,136.7779
Shindo,37.3261,138.56413
Shinkansen,35.10288,138.96081
Shonai,39.68104,140.38475
Suzu,37.43459,137.26009
Tanaka,36.35535,138.32788
Tokyo,35.68113,139.76706
Toyama,36.7,137.21667
Toyama Prefecture,36.6468015,137.2183531
Uchinada,36.6628934,136.6549747
Wajima,37.40458,136.89912
Yabai,35.2677,138.91656
Yamagata,38.23333,140.36667
Yamamura,35.6961339,139.6670963
Hashi,34.96667,132.15
