Iteration 1, Losses: {'ner': 48775.91823634096}
Iteration 2, Losses: {'ner': 9043.921282069236}
Iteration 3, Losses: {'ner': 5210.729798330816}
Iteration 4, Losses: {'ner': 3563.614798282097}
Iteration 5, Losses: {'ner': 2727.3906248800454}
Iteration 6, Losses: {'ner': 2189.482631497525}
Iteration 7, Losses: {'ner': 1880.9488367346644}
Iteration 8, Losses: {'ner': 1492.2925079806892}
Iteration 9, Losses: {'ner': 1178.602654651953}
Iteration 10, Losses: {'ner': 934.538253431127}
Iteration 11, Losses: {'ner': 814.1493173962053}
Iteration 12, Losses: {'ner': 716.3905949717341}
Iteration 13, Losses: {'ner': 607.263616114485}
Iteration 14, Losses: {'ner': 571.2438348618715}
Iteration 15, Losses: {'ner': 538.4072660537397}
Iteration 16, Losses: {'ner': 436.4329078471332}
Iteration 17, Losses: {'ner': 408.52686078618615}
Iteration 18, Losses: {'ner': 365.52445115898774}
Iteration 19, Losses: {'ner': 305.21174411664674}
Iteration 20, Losses: {'ner': 331.39442527878845}
Iteration 21, Losses: {'ner': 278.8379797198422}
Iteration 22, Losses: {'ner': 309.57953797655676}
Iteration 23, Losses: {'ner': 241.42498364619263}
Iteration 24, Losses: {'ner': 231.2662912233517}
Iteration 25, Losses: {'ner': 257.96955864890236}
Iteration 26, Losses: {'ner': 200.98310405882555}
Iteration 27, Losses: {'ner': 197.8257953790403}
Iteration 28, Losses: {'ner': 203.8706704928391}
Iteration 29, Losses: {'ner': 209.31580158918769}
Iteration 30, Losses: {'ner': 178.0620480834632}
Iteration 31, Losses: {'ner': 187.75652432873792}
Iteration 32, Losses: {'ner': 144.1063132456929}
Iteration 33, Losses: {'ner': 168.6321848703995}
Iteration 34, Losses: {'ner': 142.85880763907608}
Iteration 35, Losses: {'ner': 140.6799084034522}
Iteration 36, Losses: {'ner': 140.83313047270516}
Iteration 37, Losses: {'ner': 135.5371588750545}
Iteration 38, Losses: {'ner': 149.11955130736328}
Iteration 39, Losses: {'ner': 104.22579070826082}
Iteration 40, Losses: {'ner': 127.2932489999659}
